135
1	2	5
1	3	3
1	4	7
2	5	4
2	6	2
2	7	6
3	8	9
3	9	1
3	10	8
4	11	3
4	12	6
4	13	4
5	14	7
5	15	2
5	16	5
6	17	3
6	18	8
6	19	1
7	20	6
7	21	5
7	22	4
8	23	2
8	24	7
8	25	3
9	26	6
9	27	4
9	28	5
10	29	1
10	30	8
10	31	3
11	32	5
11	33	4
11	34	2
12	35	9
12	36	3
12	37	6
13	38	2
13	39	7
13	40	4
14	41	5
14	42	8
14	43	3
15	44	6
15	45	4
15	46	5
16	47	1
16	48 	9
16	49	2
17	50	5
17	51 	4
17	52 	3
18	53 	8
18	54	7
18	55 	1
19	56 	4
19	57 	5
19	58 	6
20	59	3
20	60	4
20	61	7
21	62 	2
21	63	6
21	64	5
22	65	9
22	66	4
22	67	3
23 	68	7
23	69	3
23	70	8
24	71	1
24	72	5
24	73 	4
25	74	6
25	75	5
25	76	2
26	77	4
26	78 	6
26	79	8
27	80	5
27 	81 	3
27 	82 	9
28 	83	6
28	84	4
28	85	1
29	86 	8
29	87	3
29	88	7
30	89	2
30	90	4
30	91	5
31	92	3
31	93	6
31	94	9
32	95	4
32	96	2
32	97	7
33	98	5
33	99	3
33	100	6
34	101	1
34	102	8
34	103	4
35	104	5
35	105	6
35	106	2
36	107	3
36	108	9
36	109	5
37	110	4
37	111	7
37	112	3
38	113	8
38	114	1
38	115	6
39	116	5
39	117	4
39	118	2
40	119	9
40	120	3
40	121	6
41	122	7
41	123 	5
41	124	4
42	125	2
42	126 	6
42	127	5
43	128	9
43	129	4
43	130	3
44	131	7
44	132	3
44	133	8
45	134	1
45	135	5
45	1	4
2 	1 	5
3 	1	3
4	1	7
5	2	4
6	2	2
7	2 	6
8	3 	9
9	3	1
10	3 	8
11	4 	3
12	4	6
13	4 	4
14 	5 	7
15	5	2
16 	5 	5
17	6	3
18 	6 	8
19	6	1
20	7	6
21	7	5
22	7	4
23	8 	2
24 	8 	7
25	8 	3
26	9	6
27	9  	4
28	9	5
29	10	1
30	10	8
31	10	3
32	11	5
33	11	4
34	11	2
35	12	9
36	12	3
37	12	6
38	13	2
39	13	7
40	13	4
41	14	5
42	14	8
43	14	3
44	15	6
45	15	4
46	15 	5
47	16	1
48	16	9
49	16	2
50	17	5
51	17	4
52	17	3
53	18	8
54	18	7
55	18  	1
56	19 	4
57	19    	5
58	19 	6
59	20	3
60	20 	4
61	20 	7
62	21	2
63	21	6
64	21	5
65	22	9
66	22	4
67	22	3
68	23	7
69	23	3
70	23	8
71	24	1
72	24	5
73	24	4
74	25	6
75	25	5
76	25	2
77	26	4
78	26	6
79	26	8
80	27	5
81	27	3
82	27	9
83	28	6
84	28	4
85	28	1
86	29	8
87	29	3
88	29	7
89	30	2
90	30	4
91	30	5
92	31	3
93	31	6
94	31	9
95	32	4
96	32	2
97	32	7
98	33	5
99	33	3
100	33	6
101	34	1
102	34	8
103	34	4
104	35	5
105	35	6
106	35	2
107	36	3
108	36	9
109	36	5
110	37	4
111	37	7
112	37	3
113	38	8
114	38	1
115	38	6
116	39	5
117	39	4
118	39	2
119	40	9
120	40	3
121	40	6
122	41	7
123	41	5
124	41	4
125	42	2
126	42	6
127	42	5
128	43	9
129	43	4
130	43	3
131	44	7
132	44	3
133	44	8
134	45	1
135	45	5
1	45	4

